1,Bonnet / Hood,"The hinged cover over the engine bay of a car, allows access for maintenance.",150,800,1
2,Bonnet / Hood Latch,A locking mechanism that secures the bonnet in place.,20,80,1
3,Bumper (Exposed / Unexposed),"Protective parts mounted at front/rear to absorb minor impacts. Exposed is visible, unexposed may be structural beneath covers.",100,700,1
4,Cowl Screen,"Located at the base of the windshield, it prevents debris from entering the HVAC system.",50,200,1
5,Decklid,The panel that covers the trunk in sedans (rear hatch).,150,600,1
6,Fascia Rear and Support,"Outer panel or trim at the rear, often includes mounting structure for lights and bumper.",100,400,1
7,Fender (Wing or Mudguard),Curved panels over the wheels that block dirt and debris.,80,300,1
8,Front Clip,"The complete front body section of a car, often includes the bumper, headlights, and grille.",200,"1,200",1
9,Front Fascia and Header Panel,Fascia is the decorative front panel; header panel holds components like the headlights and grille.,100,500,1
10,Grille,A protective mesh or slats that allow airflow to the radiator.,50,300,1
11,Pillar and Hard Trim,"Vertical supports for the roof (A, B, C-pillars), often covered in hard plastic trim.",60,300,1
12,Quarter Panel,"The body panel between the rear door and the trunk, wraps around the rear wheels.",200,600,1
13,Radiator Core Support,A frame that holds the radiator and often the headlights/grille.,100,350,1
14,Rocker Panel,"The lower side section beneath the doors, adds structural strength.",80,250,1
15,Roof Rack,Bars on the car roof used to carry luggage or equipment.,100,400,1
16,Spoiler (Front / Rear),Aerodynamic devices designed to reduce lift or drag; rear spoiler is often wing-shaped.,100,500,1
17,Valance,A panel located below the bumper for aerodynamics or appearance.,50,200,1
18,Trunk / Boot / Hatch,The rear storage compartment of a car.,150,800,1
19,Trunk / Boot Latch,The mechanism that secures and locks the trunk.,20,80,1
20,Welded Assembly,Body components or structures that are permanently joined by welding.,300,"1,000",1
21,Mirror,Usually refers to side mirrors (wing mirrors) for rear visibility.,40,300,1
22,License Plate Bracket,A mounting fixture that holds the vehicle’s license plate.,15,40,1
23,Outer/Inner Door Handle,Handles used to open the door from outside and inside.,20,80,2
24,Door Control Module,"An electronic unit that controls functions like windows, mirrors, and locking.",80,300,2
25,Door Seal,"Rubber lining that prevents water, dust, and noise from entering.",30,120,2
26,Door Watershield,A protective sheet inside the door to block water from entering interior components.,20,60,2
27,Hinge,Metal joint allowing the door to swing open and shut.,10,50,2
28,Door Latch,Mechanical device that keeps the door securely shut.,25,100,2
29,Door Lock / Power Door Locks,Manual or electric mechanisms for locking/unlocking doors.,30,150,2
30,Center-locking,A system that locks/unlocks all doors simultaneously.,40,200,2
31,Fuel Tank (Filler) Door,A small door on the car’s body that conceals the fuel cap.,20,80,2
32,Glass,"Refers to side window panes, often tempered or laminated.",50,300,2
33,Sunroof,A panel in the roof that can be opened for light and air.,300,"1,200",2
34,Sunroof Motor,Powers the opening/closing of the sunroof.,100,300,2
35,Window Motor,Powers electric window movement up/down.,60,200,2
36,Window Regulator,A mechanism inside the door that moves the window when cranked or powered.,60,250,2
37,Window Seal,Rubber gasket around the window to seal and reduce wind/water noise.,30,100,2
38,Antenna Assembly,Complete structure for radio signal reception.,30,120,2
39,Antenna Cable,Connects the antenna to the radio system.,10,25,2
40,Radio / Media Player / Tuner,Audio systems for entertainment and information.,100,600,3
41,Speaker / Subwoofer,Converts electrical audio signals into sound; subwoofers emphasize bass.,40,250,3
42,Dash Panels / Dashboard,The panel housing instruments and controls in front of the driver.,150,800,3
43,Instrument Cluster,"Contains gauges like speedometer, tachometer, fuel and temperature indicators.",150,700,3
44,Carpet / Floor Material,Material that covers the car floor for comfort and insulation.,80,300,3
45,Center Console,The compartment or control area between the front seats.,100,500,3
46,Trap (Secret Compartment),Hidden compartment often used for storage.,50,200,3
47,Armrest,Padded section on doors or center console for resting arms.,30,150,3
48,Bench Seat / Bucket Seat,"Bench seats are flat, spanning width; bucket seats are individual.",150,700,3
49,Headrest,Adjustable support for head/neck on top of seats.,30,100,3
50,Seat Belt,Safety device to restrain occupants during a crash.,50,200,3
51,Seat Bracket / Track,Mounts and allows front-back adjustment of seats.,40,150,3
52,Seat Cover,Protective fabric or leather covering for car seats.,30,150,3
53,Children / Baby Car Seat,Special safety seat designed for children.,100,400,3
54,Fastener / Nut / Screw / Bolt Cap / Shim / Rivet,Hardware for securing components together.,5,25,3
55,Glove Compartment,A small storage space in the dashboard.,40,150,3
56,"Grab Handle (""Oh S* Handle"")**",A handle near the roof edge for support while entering/exiting or during turns.,20,80,3
57,Sun Visor,Flip-down panel to block sunlight through the windshield.,30,100,3
58,Battery,Stores electrical energy for starting the engine and powering electrical components.,70,250,4
59,Battery Tray,A compartment that holds the battery securely in place.,20,80,4
60,Cables,Electrical wires that connect components like the battery to the car's systems.,10,50,4
61,Control System,"Manages electrical components such as sensors, power windows, and more.",200,800,4
62,Voltage Regulator,Regulates the voltage output from the alternator to keep the battery charged.,40,120,4
63,Alternator,"Charges the car’s battery while the engine is running, providing electrical power.",100,300,4
64,Alternator Parts,Components like bearings and fans related to the alternator.,30,150,4
65,Starter,Motor that turns the engine over to start it.,80,250,4
66,Starter Motor / Solenoid / Drive,"The motor that engages to start the engine, solenoid is the switch mechanism.",60,200,4
67,Spark Plug,Ignites the air-fuel mixture in the engine cylinders for combustion.,5,20,4
68,Coil,Converts battery voltage into high voltage to power the spark plug.,40,150,4
69,Distributor,Directs the electrical current to the correct cylinder's spark plug.,50,200,4
70,Switches:,"Door, Ignition, Power Window, Steering Column: These switches control various systems in the car.",10,80,4
71,Airbag Sensors,Detects crashes and deploys airbags for safety.,80,300,4
72,Light Sensor,Detects light levels to automatically control headlights.,30,100,4
73,Knock Sensor,Monitors engine vibrations for early detection of knocking or pinging.,40,120,4
74,Fuel/Oil/Temperature/Tire Pressure Sensors,"Monitors various systems like fuel levels, oil pressure, engine temperature, and tire pressure.",30,150,4
75,Mass Flow Sensor,Measures the amount of air entering the engine for fuel control.,100,250,4
76,Camshaft / Crankshaft Position Sensors,Detects the position of the camshaft or crankshaft to synchronize engine timing.,70,200,4
77,Wiring Harnesses,Bundles of wires that route electrical power and signals to different car components.,100,600,4
78,Relays / Fuses / Fuse Box,Electrical components that protect circuits by cutting power when needed.,10,100,4
79,Speedometer / Tachometer / Odometer / Ammeter,"Instruments measuring speed, engine RPM, total distance traveled, and electrical current.",80,300,4
80,Fuel Gauge / Water Temp Meter / Voltmeter / Vacuum Gauge,"Monitors fuel levels, engine temperature, battery voltage, and vacuum pressure.",50,150,4
81,Engine Block,The main structure housing the cylinders and other engine components.,500,"2,000",5
82,Cylinder Head,"Sits on top of the engine block and contains valves, camshafts, etc.",300,900,5
83,Crankshaft,Converts the up-and-down motion of the pistons into rotational motion.,200,600,5
84,Piston,Moves up and down inside the cylinder to create power.,50,150,5
85,Connecting Rod,Links the piston to the crankshaft for motion transmission.,50,150,5
86,Camshaft,Controls the timing of the engine’s intake and exhaust valves.,100,400,5
87,Rocker Arm,Transfers motion from the camshaft to the valves.,30,100,5
88,Valve (Intake / Exhaust / Spring / Cover),"Intake and exhaust valves control air/fuel flow in and out of the engine, springs hold them in place.",30,100,5
89,Timing Belt / Drive Belt / Accessory Belt,Belts that ensure precise timing between engine components.,40,150,5
90,Engine Mounting / Damper / Vibration Absorber,Keeps the engine secure while absorbing vibrations during operation.,50,200,5
91,Oil Pump / Oil Pan / Oil Filter / Oil Strainer,The oil pump circulates oil; the filter keeps it clean; the pan holds the oil.,20,150,5
92,Water Pump,Circulates coolant through the engine and radiator.,40,150,5
93,Radiator,Cools the engine by dissipating heat from the coolant.,100,350,5
94,Radiator Fan,Helps the radiator dissipate heat more effectively.,60,200,5
95,Gaskets / Seals,Prevent leakage of fluids and gases from engine components.,10,80,5
